date,index
2020-03-16,97.0
2020-03-17,94.0
2020-03-18,94.0
2020-03-19,90.0
2020-03-20,95.0
2020-03-21,100.0
2020-03-22,82.0
2020-03-23,69.0
2020-03-24,79.0
2020-03-25,76.0
2020-03-26,82.0
2020-03-27,78.0
2020-03-28,65.0
2020-03-29,68.0
2020-03-30,63.0
2020-03-31,61.0
2020-04-01,52.0
2020-04-02,58.0
2020-04-03,51.0
2020-04-04,57.0
2020-04-05,50.0
2020-04-06,48.0
2020-04-07,45.0
2020-04-08,40.0
2020-04-09,46.0
2020-04-10,45.0
2020-04-11,55.0
2020-04-12,52.0
2020-04-13,53.0
2020-04-14,53.0
2020-04-15,52.0
2020-04-16,43.0
2020-04-17,51.0
2020-04-18,43.0
2020-04-19,48.0
2020-04-20,48.0
2020-04-21,44.0
2020-04-22,43.0
2020-04-23,48.0
2020-04-24,45.0
2020-04-25,51.0
2020-04-26,50.0
2020-04-27,44.0
2020-04-28,56.0
2020-04-29,54.0
2020-04-30,60.0
2020-05-01,65.0
2020-05-02,67.0
2020-05-03,61.0
2020-05-04,58.0
2020-05-05,56.0
2020-05-06,68.0
2020-05-07,50.0
2020-05-08,61.0
2020-05-09,51.0
2020-05-10,54.0
2020-05-11,57.0
2020-05-12,56.0
2020-05-13,66.0
2020-05-14,58.0
2020-05-15,64.0
2020-05-16,57.0
2020-05-17,65.0
2020-05-18,66.0
2020-05-19,74.0
2020-05-20,83.0
2020-05-21,77.0
2020-05-22,86.0
2020-05-23,100.0
2020-05-24,91.0
2020-05-25,73.0
2020-05-26,75.0
2020-05-27,71.0
2020-05-28,69.0
2020-05-29,63.0
2020-05-30,58.0
2020-05-31,78.0
2020-06-01,70.0
2020-06-02,72.0
2020-06-03,78.0
2020-06-04,77.0
2020-06-05,67.0
2020-06-06,84.0
2020-06-07,69.0
2020-06-08,76.0
2020-06-09,65.0
2020-06-10,64.0
2020-06-11,60.0
2020-06-12,87.0
2020-06-13,78.0
2020-06-14,100.0
2020-06-15,71.0
2020-06-16,74.0
2020-06-17,74.0
2020-06-18,80.0
2020-06-19,67.0
2020-06-20,71.0
2020-06-21,71.0
2020-06-22,83.0
2020-06-23,85.0
2020-06-24,77.0
2020-06-25,75.0
2020-06-26,78.0
2020-06-27,91.0
2020-06-28,87.0
2020-06-29,90.0
2020-06-30,89.0
2020-07-01,93.0
2020-07-02,100.0
2020-07-03,76.0
